Epoch,Dev Fscore overall,Dev Fscore seen,Dev Fscore unseen,Train Fscore overall,Train Fscore seen,Train Fscore unseen
0,0.36712598425196846,0.36712598425196846,0.0,0.2654516640253566,0.35430988894764676,0.0
1,0.36712598425196846,0.36712598425196846,0.0,0.2654516640253566,0.35430988894764676,0.0
2,0.36712598425196846,0.36712598425196846,0.0,0.2654516640253566,0.35430988894764676,0.0
3,0.36712598425196846,0.36712598425196846,0.0,0.26545983086680763,0.35438348915152584,0.0
4,0.3679525222551929,0.3679525222551929,0.0,0.26520584329349267,0.35464393535784056,0.0
5,0.3696303696303696,0.3696303696303696,0.0,0.26418891721454446,0.35426412378553435,0.0
6,0.3690721649484535,0.3690721649484535,0.0,0.26476242790442184,0.3551952837140751,0.0
7,0.3672806067172264,0.3672806067172264,0.0,0.2853839037927845,0.35802707930367506,0.0
8,0.3605600933488915,0.3605600933488915,0.0,0.2805989583333333,0.3548785508439687,0.0
9,0.4172678680959196,0.4172678680959196,0.0,0.36432515689638145,0.4249076326476605,0.0
10,0.3849470962474059,0.3849470962474059,0.0,0.3205865549419158,0.3794911366276154,0.0
11,0.3963499825358016,0.3963499825358016,0.0,0.350147262273264,0.4031789443822445,0.0
12,0.44521297434581153,0.44521297434581153,0.0,0.3670066332817703,0.4543333008363335,0.0
13,0.5468566259611036,0.5468566259611036,0.0,0.463956953951227,0.5420808718679976,0.0
14,0.4386418717375094,0.4386418717375094,0.0,0.37361523827390003,0.42924910589571597,0.0
15,0.4936722045726785,0.4936722045726785,0.0,0.4332905132538285,0.5013785904637389,0.0
16,0.47063421412597434,0.47063421412597434,0.0,0.39772004567856034,0.4711812720116013,0.0
17,0.5758498873643252,0.5758498873643252,0.0,0.5346569786746028,0.6022219242527048,0.0
18,0.5431706015739629,0.5431706015739629,0.0,0.46998359295689907,0.5405674541164935,0.0
19,0.5362311620376137,0.5362311620376137,0.0,0.48438299869417356,0.5452234271185676,0.0
20,0.5228057349417163,0.5228057349417163,0.0,0.461649066645191,0.5215351812366738,0.0
21,0.5443989071038251,0.5443989071038251,0.0,0.4844652174279525,0.5491811438345213,0.0
22,0.5740305522914219,0.5740305522914219,0.0,0.5380921957996455,0.6226460624192944,0.0
23,0.5395520840533627,0.5395520840533627,0.0,0.45108755871154094,0.5273532681587,0.0
24,0.589554554368197,0.589554554368197,0.0,0.5488897700237907,0.6428530102653184,0.0
25,0.6125382454601465,0.6125382454601465,0.0,0.5299675091807353,0.6346698388109044,0.0
26,0.6223958333333334,0.6223958333333334,0.0,0.5666330443744151,0.6441915572350355,0.0
27,0.5892085598029639,0.5892085598029639,0.0,0.5537963035784507,0.6305611021688154,0.0
28,0.5850423045930702,0.5850423045930702,0.0,0.5792582032000236,0.6589616108712313,0.0
29,0.5855204153882464,0.5855204153882464,0.0,0.5760050031269544,0.6403750485094201,0.0
30,0.5883051907442152,0.5883051907442152,0.0,0.5276612669291345,0.6036793400958498,0.0
31,0.5930629827688652,0.5930629827688652,0.0,0.5705769630099107,0.6318424379136087,0.0
32,0.6238298738298738,0.6238298738298738,0.0,0.6003737147431799,0.6625415949512334,0.0
33,0.5653117206982544,0.5653117206982544,0.0,0.5624991014085121,0.6206712612820179,0.0
34,0.5731720553297717,0.5731720553297717,0.0,0.5638555306224776,0.6307360228547654,0.0
35,0.5997631133671742,0.5997631133671742,0.0,0.6202508243282844,0.674742926422265,0.0
36,0.5918458781362007,0.5918458781362007,0.0,0.6435686758365402,0.6855569106737799,0.0
37,0.581202496296836,0.581202496296836,0.0,0.6271569078779111,0.6577314056077521,0.0
38,0.6204036586793304,0.6204036586793304,0.0,0.6719770777637563,0.7131420191314202,0.0
39,0.6124949768264258,0.6124949768264258,0.0,0.615602354223559,0.6958171761154799,0.0
40,0.5821807228073608,0.5821807228073608,0.0,0.6412408982438965,0.6561642172725377,0.0
41,0.6318676503188622,0.6318676503188622,0.0,0.6627211058234543,0.736399254370951,0.0
42,0.60463860821382,0.60463860821382,0.0,0.693596877208883,0.7537652728603835,0.0
43,0.6202730356291875,0.6202730356291875,0.0,0.68313069827395,0.7473886041711154,0.0
44,0.589854508927125,0.589854508927125,0.0,0.6719800765881158,0.7178097260446503,0.0
45,0.5866194819159891,0.5866194819159891,0.0,0.65739267320295,0.7179680891100475,0.0
46,0.6144629671919006,0.6144629671919006,0.0,0.7075057605175377,0.7687716391058574,0.0
47,0.6001035794673625,0.6001035794673625,0.0,0.6791997537720886,0.7473855139060797,0.0
48,0.6060218579234973,0.6060218579234973,0.0,0.7065440562493608,0.7671785553221839,0.0
49,0.5838378688420113,0.5838378688420113,0.0,0.6319797984526152,0.7154786692578197,0.0
50,0.6131151400988932,0.6131151400988932,0.0,0.708213655396754,0.787795830283806,0.0
51,0.6078092260617953,0.6078092260617953,0.0,0.720974064974065,0.7833872179878232,0.0
52,0.6082033050233722,0.6082033050233722,0.0,0.6587520886851572,0.740677259514191,0.0
53,0.6120359910418772,0.6120359910418772,0.0,0.6631120799649086,0.7675415593632768,0.0
54,0.6046080390850543,0.6046080390850543,0.0,0.7240729560385067,0.7902274814815343,0.0
55,0.5338574350392785,0.5338574350392785,0.0,0.5011830429020464,0.6162015457579817,0.0
56,0.36712598425196846,0.36712598425196846,0.0,0.2654516640253566,0.35430988894764676,0.0
57,0.36722606120434353,0.36722606120434353,0.0,0.2654656245860379,0.35469026548672566,0.0
