Epoch,Dev Fscore overall,Dev Fscore seen,Dev Fscore unseen,Train Fscore overall,Train Fscore seen,Train Fscore unseen
0,0.36712598425196846,0.36712598425196846,0.0,0.2654516640253566,0.35430988894764676,0.0
1,0.36712598425196846,0.36712598425196846,0.0,0.2654516640253566,0.35430988894764676,0.0
2,0.36712598425196846,0.36712598425196846,0.0,0.2654516640253566,0.35430988894764676,0.0
3,0.36712598425196846,0.36712598425196846,0.0,0.26545983086680763,0.35438348915152584,0.0
4,0.3679525222551929,0.3679525222551929,0.0,0.26520584329349267,0.35464393535784056,0.0
5,0.3696303696303696,0.3696303696303696,0.0,0.26418891721454446,0.35426412378553435,0.0
6,0.3690721649484535,0.3690721649484535,0.0,0.26476242790442184,0.3551952837140751,0.0
7,0.3672806067172264,0.3672806067172264,0.0,0.2853839037927845,0.35802707930367506,0.0
8,0.3605600933488915,0.3605600933488915,0.0,0.2805989583333333,0.3548785508439687,0.0
9,0.4172678680959196,0.4172678680959196,0.0,0.36432515689638145,0.4249076326476605,0.0
10,0.3849470962474059,0.3849470962474059,0.0,0.3205865549419158,0.3794911366276154,0.0
11,0.3963499825358016,0.3963499825358016,0.0,0.350147262273264,0.4031789443822445,0.0
12,0.44521297434581153,0.44521297434581153,0.0,0.3670066332817703,0.4543333008363335,0.0
13,0.5468566259611036,0.5468566259611036,0.0,0.463956953951227,0.5420808718679976,0.0
14,0.4386418717375094,0.4386418717375094,0.0,0.37361523827390003,0.42924910589571597,0.0
15,0.4936722045726785,0.4936722045726785,0.0,0.43304063109888347,0.5011102514719036,0.0
16,0.4709182678768711,0.4709182678768711,0.0,0.3978038833907361,0.4707293975902479,0.0
17,0.566959816959817,0.566959816959817,0.0,0.533963882092257,0.6007636601131098,0.0
18,0.540132993681146,0.540132993681146,0.0,0.46598121672465215,0.538381302943368,0.0
19,0.5370442618205615,0.5370442618205615,0.0,0.47524998957855685,0.5408456344272755,0.0
20,0.5180311291490728,0.5180311291490728,0.0,0.45807708971550265,0.5143875769016166,0.0
21,0.5456838637719503,0.5456838637719503,0.0,0.48297977785424595,0.5456471661278375,0.0
22,0.579721070486242,0.579721070486242,0.0,0.5354252259654889,0.6250278401603594,0.0
23,0.5569376026272579,0.5569376026272579,0.0,0.4430256421334601,0.5247892830446368,0.0
24,0.5879724461477468,0.5879724461477468,0.0,0.5447415925812658,0.6440844321821795,0.0
25,0.6173579997109409,0.6173579997109409,0.0,0.5328955394211283,0.6403626196375684,0.0
26,0.6289018057292194,0.6289018057292194,0.0,0.5675895753546034,0.646121362095863,0.0
27,0.5883992124791761,0.5883992124791761,0.0,0.5468526116441736,0.6260813700657681,0.0
28,0.5911844009595749,0.5911844009595749,0.0,0.5865844912156502,0.6609842560387421,0.0
29,0.6022314755498611,0.6022314755498611,0.0,0.5949809820459033,0.6482342722267889,0.0
30,0.6039267604226514,0.6039267604226514,0.0,0.5417126248842948,0.6132287791455229,0.0
31,0.6016054337758567,0.6016054337758567,0.0,0.5799186145069439,0.6373387144637664,0.0
32,0.6291447819136788,0.6291447819136788,0.0,0.6059070939211988,0.6594957312438762,0.0
33,0.5814263386324435,0.5814263386324435,0.0,0.5820487821336965,0.6348054525343224,0.0
34,0.5837258200168208,0.5837258200168208,0.0,0.5664606149212905,0.6273856953196627,0.0
35,0.605380789137595,0.605380789137595,0.0,0.6258998173856696,0.6740350423373652,0.0
36,0.5942342342342343,0.5942342342342343,0.0,0.6529326296366849,0.6860804124817563,0.0
37,0.5802277781521665,0.5802277781521665,0.0,0.6343406274410455,0.6562955328014226,0.0
38,0.6222121760096444,0.6222121760096444,0.0,0.6724569811220702,0.7122304940041038,0.0
39,0.6093236123676228,0.6093236123676228,0.0,0.6205784566231272,0.695644533637586,0.0
40,0.5827740099096883,0.5827740099096883,0.0,0.6408753490390625,0.654456201837748,0.0
41,0.6329670329670329,0.6329670329670329,0.0,0.6701889487520197,0.73861776521351,0.0
42,0.6091944752495212,0.6091944752495212,0.0,0.6988516473531265,0.7534041643665934,0.0
43,0.6031578947368421,0.6031578947368421,0.0,0.6937249863986921,0.7487684374625254,0.0
44,0.5814672809872088,0.5814672809872088,0.0,0.6816407195796478,0.722698048063662,0.0
45,0.5891023441966838,0.5891023441966838,0.0,0.6692333363573919,0.723549583507043,0.0
46,0.6055500196273818,0.6055500196273818,0.0,0.7096195146508727,0.77108681727008,0.0
47,0.6100131291902335,0.6100131291902335,0.0,0.6864709329982763,0.7513111648728044,0.0
48,0.6028055975536281,0.6028055975536281,0.0,0.710540724376163,0.7637500653179161,0.0
49,0.5771076483082034,0.5771076483082034,0.0,0.6346400297331477,0.7144627602077421,0.0
50,0.6191919191919193,0.6191919191919193,0.0,0.7162891140281114,0.791370729637951,0.0
51,0.6005189704747879,0.6005189704747879,0.0,0.7194507669752822,0.7797393012320695,0.0
52,0.6022522522522522,0.6022522522522522,0.0,0.6756386166872801,0.7450847370019318,0.0
53,0.6081227209857916,0.6081227209857916,0.0,0.6947712418300653,0.7743146712355808,0.0
54,0.5922317314022383,0.5922317314022383,0.0,0.7438551966892712,0.799134180556077,0.0
55,0.6094404263418348,0.6094404263418348,0.0,0.7605631499184577,0.8234188312275184,0.0
56,0.6166755057201303,0.6166755057201303,0.0,0.7416155359287437,0.810648721237445,0.0
57,0.596758050478677,0.596758050478677,0.0,0.7800671166283273,0.8272847369662655,0.0
