Epoch,Learning Rate,Rho,Dev Fscore overall,Dev Fscore seen,Dev Fscore unseen,Topic Fscore,Train Fscore overall,Train Fscore seen,Train Fscore unseen
0,0.001,0.0,0.5646049222797928,0.5646049222797928,0.0,0.26954959933683337,0.4519108267744888,0.5819815954853199,0.0
1,0.001,0.0,0.5646049222797928,0.5646049222797928,0.0,0.39163111923623806,0.45359020537646844,0.5819815954853199,0.0
2,0.001,0.0,0.5646049222797928,0.5646049222797928,0.0,0.45930644019815997,0.473418426823631,0.5819815954853199,0.0
3,0.001,0.0,0.5655557366362451,0.5655557366362451,0.0,0.6274842116227836,0.47037831532178265,0.5821680025250796,0.0
4,0.001,0.0,0.5646049222797928,0.5646049222797928,0.0,0.8330002907449476,0.4648027217684022,0.5819815954853199,0.0
5,0.001,0.0,0.5665756430005134,0.5665756430005134,0.0,0.8222027107549312,0.4751754342851169,0.5830388531339568,0.0
6,0.001,0.0,0.5734548527281507,0.5734548527281507,0.0,0.8410882278159166,0.42992179612529147,0.5844187645731423,0.0
7,0.001,0.0,0.5781764540257324,0.5781764540257324,0.0,0.8553234844625573,0.43873260495438016,0.6028741779863389,0.0
8,0.001,0.0,0.569725496506685,0.569725496506685,0.0,0.8605890819398798,0.4325804652644997,0.5930948224875655,0.0
9,0.001,0.0,0.583505269614677,0.583505269614677,0.0,0.8567185350984294,0.4407007522870429,0.6053554814251708,0.0
10,0.001,0.0,0.5796744819316237,0.5796744819316237,0.0,0.8665341028231086,0.45653448912334016,0.6230489652430858,0.0
11,0.001,0.0,0.5818015187221786,0.5818015187221786,0.0,0.8648392968105585,0.4812657434065713,0.6489814743492819,0.0
12,0.001,0.0,0.5802514230055094,0.5802514230055094,0.0,0.8679825474365912,0.47485267131881037,0.6475648927386763,0.0
13,0.001,0.0,0.6136924976844707,0.6136924976844707,0.0,0.8724921624066762,0.5008600223500497,0.6735195922032319,0.0
14,0.001,0.0,0.6071645679548416,0.6071645679548416,0.0,0.8760252312380862,0.5113250743514391,0.6732357540086442,0.0
15,0.001,0.0,0.6006219903691814,0.6006219903691814,0.0,0.8747080679405519,0.5157260792856826,0.6614042338246774,0.0
16,0.001,0.0,0.6367042735042735,0.6367042735042735,0.0,0.8615913322882656,0.530196747401565,0.6765572131683126,0.0
17,0.001,0.0,0.6273617187690954,0.6273617187690954,0.0,0.8799796565547777,0.5141891001350951,0.7004500133362345,0.0
18,0.001,0.0,0.621027721433401,0.621027721433401,0.0,0.8778428675492107,0.5149380707603679,0.6866395441792732,0.0
19,0.001,0.0,0.596111346905323,0.596111346905323,0.0,0.873647752687484,0.46706882592744414,0.6599668279469639,0.0
20,0.001,0.0,0.6213682973723563,0.6213682973723563,0.0,0.8812031774735211,0.5251607695195686,0.7059492037597517,0.0
21,0.001,0.0,0.6304513322457859,0.6304513322457859,0.0,0.8805984090134147,0.54617479483022,0.7129205391605247,0.0
22,0.001,0.0,0.6361778621353709,0.6361778621353709,0.0,0.8775474130841325,0.5519734902773966,0.7191816484554563,0.0
23,0.001,0.0,0.599598353909465,0.599598353909465,0.0,0.8730151738967415,0.5152541208791209,0.7075644927966751,0.0
24,0.001,0.0,0.623903530747904,0.623903530747904,0.0,0.8727755862371247,0.5404423556639975,0.7191228070175438,0.0
25,0.001,0.0,0.6221903207409885,0.6221903207409885,0.0,0.884539696497962,0.5287944137182309,0.7149133560772172,0.0
26,0.001,0.0,0.6358434327812614,0.6358434327812614,0.0,0.8781483402368454,0.5593716327340782,0.7250217534065824,0.0
27,0.001,0.0,0.624016009828819,0.624016009828819,0.0,0.8774255682130867,0.5533110680481373,0.7375665766142611,0.0
28,0.001,0.0,0.6065515350877193,0.6065515350877193,0.0,0.8897276745677946,0.5462275536575609,0.7056491406504517,0.0
29,0.001,0.0,0.6327981651376148,0.6327981651376148,0.0,0.8853121913608613,0.5793243613853628,0.7200948936961684,0.0
30,0.001,0.0,0.6222030981067126,0.6222030981067126,0.0,0.8857327910049484,0.5518001182932911,0.7334742618465375,0.0
31,0.001,0.0,0.6171841994085341,0.6171841994085341,0.0,0.888058712731596,0.5290038672606435,0.73295404669502,0.0
32,0.001,0.0,0.6398356580582791,0.6398356580582791,0.0,0.8840833235178144,0.5792935163577316,0.7501968232926661,0.0
33,0.001,0.0,0.6100085849191588,0.6100085849191588,0.0,0.881629286183264,0.5338772253684179,0.7272821334595645,0.0
34,0.001,0.0,0.6615296803652968,0.6615296803652968,0.0,0.8857258364064331,0.5577153364263832,0.7613219934347956,0.0
35,0.001,0.0,0.6543300653594771,0.6543300653594771,0.0,0.8843484880478711,0.5818354522194944,0.7568599309735464,0.0
36,0.001,0.0,0.6299516536503418,0.6299516536503418,0.0,0.8750989681757769,0.6286664310958696,0.7558941590890472,0.0
37,0.001,0.0,0.6596189045853474,0.6596189045853474,0.0,0.8858699778643476,0.5896292955586664,0.7609376122333336,0.0
38,0.001,0.0,0.6339243333798688,0.6339243333798688,0.0,0.891005440030902,0.6086566832050374,0.7582519256672813,0.0
39,0.001,0.0,0.6475494123931624,0.6475494123931624,0.0,0.8880758849284285,0.6042037307550938,0.772682965087617,0.0
40,0.001,0.0,0.6677496712307573,0.6677496712307573,0.0,0.8881128539015488,0.6092909046880348,0.7845209422993809,0.0
41,0.001,0.0,0.6590841344362471,0.6590841344362471,0.0,0.8865780927755718,0.5941654179701971,0.7919642587958635,0.0
42,0.001,0.0,0.6530132450331126,0.6530132450331126,0.0,0.8917123314868862,0.5898125540883772,0.778945310490302,0.0
43,0.001,0.0,0.6272524052415122,0.6272524052415122,0.0,0.8876533670462317,0.54448321416686,0.7570626300166914,0.0
44,0.001,0.0,0.649057847886181,0.649057847886181,0.0,0.8845622540203821,0.5997225214230416,0.7912803214268579,0.0
45,0.001,0.0,0.6554218428363731,0.6554218428363731,0.0,0.8849200792884306,0.6213134276112762,0.7810891468623371,0.0
46,0.001,0.0,0.6485762959357508,0.6485762959357508,0.0,0.8902905916194552,0.6109507063411316,0.7959684075415393,0.0
47,0.001,0.0,0.6323225806451613,0.6323225806451613,0.0,0.8889305647743448,0.6404667884771809,0.7956745426863776,0.0
48,0.001,0.0,0.6735922126857861,0.6735922126857861,0.0,0.8885122045718714,0.6524143240439448,0.8206194378782712,0.0
49,0.001,0.0,0.6537030585073289,0.6537030585073289,0.0,0.8883295906898596,0.6185651922807842,0.8270465666660669,0.0
50,0.001,0.0,0.6778886737176623,0.6778886737176623,0.0,0.8870233068390068,0.640046472679626,0.8256437930773308,0.0
51,0.0009764540896763106,0.069885890316429,0.6434543286562032,0.6434543286562032,0.0,0.8813867584960223,0.6376089116057966,0.8289322146612236,0.0
52,0.0009554427922043668,0.1390924478784581,0.6420611015490534,0.6420611015490534,0.0,0.8794873388224329,0.6219795353008055,0.8279885666395255,0.0
53,0.0009365137582048804,0.2069664997294527,0.6535198153539485,0.6535198153539485,0.0,0.8626161631805191,0.6803503736759395,0.8514712515524893,0.0
54,0.0009193227152249185,0.2729050805631328,0.5703182878309783,0.5703182878309783,0.0,0.14196447809893187,0.5125768229492409,0.6238187778959546,0.0
55,0.0009036020036098449,0.3363755443363323,0.61020258725897,0.61020258725897,0.0,0.27115218019058623,0.5648981361754,0.6999347559904914,0.0
56,0.0008891397050194615,0.3969304320050775,0.6486206063362565,0.6486206063362565,0.0,0.33744355679055227,0.6077510681433276,0.7687856018961121,0.0
57,0.0008757653731721587,0.4542164326822591,0.6393095435684647,0.6393095435684647,0.0,0.4020689818913208,0.6218595539311625,0.7866869679546619,0.0
58,0.0008633400213704505,0.5079774328978963,0.6382195931323043,0.6382195931323043,0.0,0.129123104658382,0.6276609580778683,0.7979321161992721,0.0
59,0.0008517489360780039,0.5580522155596244,0.6252247331649257,0.6252247331649257,0.0,0.3399228236852327,0.6282803500425324,0.7983859394834452,0.0
60,0.0008408964152537146,0.6043677771171636,0.6436473739373472,0.6436473739373472,0.0,0.15759320782576594,0.6646877334898378,0.8188319856244385,0.0
61,0.0008307018474412791,0.6469294504417666,0.6547513991779104,0.6547513991779104,0.0,0.2857316209930226,0.6413220913692439,0.8194712008871301,0.0
62,0.0008210967436686386,0.6858090622290947,0.6504803863642202,0.6504803863642202,0.0,0.46460092225273797,0.6672476615971448,0.835145130193375,0.0
63,0.0008120224586769673,0.7211322540767,0.6456565913131826,0.6456565913131826,0.0,0.28631031154838815,0.6717397002746693,0.8202740976141478,0.0
64,0.0008034284189446517,0.7530659048695518,0.6607509881422924,0.6607509881422924,0.0,0.382685797688176,0.6551689079416372,0.8216521728752606,0.0
65,0.0007952707287670507,0.7818063576087741,0.6514421360748197,0.6514421360748197,0.0,0.27548129541580696,0.6218503237552674,0.846890869650011,0.0
66,0.000787511062110268,0.8075689165786144,0.6326852531181218,0.6326852531181218,0.0,0.28294909110879235,0.5723913070818608,0.8074670802935433,0.0
67,0.0007801157731069053,0.8305788685385285,0.6641576832302098,0.6641576832302098,0.0,0.29729815494809375,0.6788873578058767,0.8457004744597856,0.0
68,0.0007730551756939455,0.8510641096679439,0.6272015450175283,0.6272015450175283,0.0,0.3139279583422353,0.7224674803568953,0.8468685603605834,0.0
69,0.0007663029554391028,0.8692493331488547,0.6529377431906616,0.6529377431906616,0.0,0.320182753888001,0.7014402070197794,0.8530173385886852,0.0
70,0.0007598356856515926,0.8853516482022625,0.6539901066809702,0.6539901066809702,0.0,0.2863158227319607,0.6291482511168139,0.8539296456603589,0.0
71,0.0007536324264832723,0.8995774536194672,0.6443002667960223,0.6443002667960223,0.0,0.2964699392052692,0.7578403630835471,0.8662543496519186,0.0
72,0.0007476743906106103,0.9121203692077176,0.6358389522461777,0.6358389522461777,0.0,0.34509718151183433,0.7692070660839945,0.8649381284770025,0.0
73,0.000741944662736501,0.9231600289968693,0.6387525766340847,0.6387525766340847,0.0,0.2939551754364249,0.7681302657886067,0.8803371260173681,0.0
74,0.0007364279629037998,0.932861553437035,0.6367666374781085,0.6367666374781085,0.0,0.28161029027842455,0.7006328832022741,0.878813006388474,0.0
75,0.0007311104457090248,0.9413755384972873,0.6497619656706454,0.6497619656706454,0.0,0.2777676269809647,0.6573992335862604,0.8863762193341422,0.0
76,0.0007259795291154771,0.9488384233759848,0.6347565329144651,0.6347565329144651,0.0,0.33020472822303165,0.7617932677986297,0.8708836678831173,0.0
