Epoch,Dev Fscore overall,Dev Fscore seen,Dev Fscore unseen,Train Fscore overall,Train Fscore seen,Train Fscore unseen
0,0.4684444082563205,0.4684444082563205,0.0,0.48938889472131825,0.48938889472131825,0.0
1,0.5871300299301629,0.5871300299301629,0.0,0.5931649567566584,0.5931649567566584,0.0
2,0.5436730758323407,0.5436730758323407,0.0,0.5578844155844156,0.5578844155844156,0.0
3,0.5367174603174603,0.5367174603174603,0.0,0.5997719398717339,0.5997719398717339,0.0
4,0.5967002173885727,0.5967002173885727,0.0,0.666783463940839,0.666783463940839,0.0
5,0.5741205806394158,0.5741205806394158,0.0,0.709408433833338,0.709408433833338,0.0
6,0.6060097757160066,0.6060097757160066,0.0,0.7575329211554968,0.7575329211554968,0.0
7,0.6206534446548103,0.6206534446548103,0.0,0.7832046889315611,0.7832046889315611,0.0
8,0.611276362810105,0.611276362810105,0.0,0.8276927618179466,0.8276927618179466,0.0
9,0.5985409124547474,0.5985409124547474,0.0,0.8321863657472688,0.8321863657472688,0.0
10,0.6259844433641224,0.6259844433641224,0.0,0.888398929401957,0.888398929401957,0.0
11,0.5757334915428789,0.5757334915428789,0.0,0.9154982407706364,0.9154982407706364,0.0
12,0.593799141484976,0.593799141484976,0.0,0.9272008260815485,0.9272008260815485,0.0
13,0.5729813664596274,0.5729813664596274,0.0,0.9673203703884764,0.9673203703884764,0.0
14,0.5791327690579889,0.5791327690579889,0.0,0.9687547436877328,0.9687547436877328,0.0
15,0.6135824078544987,0.6135824078544987,0.0,0.9891616247793835,0.9891616247793835,0.0
16,0.5789231674062985,0.5789231674062985,0.0,0.990893900071308,0.990893900071308,0.0
17,0.5788246268656717,0.5788246268656717,0.0,0.9931538454419129,0.9931538454419129,0.0
18,0.5769311787186664,0.5769311787186664,0.0,0.9922189247383184,0.9922189247383184,0.0
19,0.5887916431394693,0.5887916431394693,0.0,0.9980389258438039,0.9980389258438039,0.0
20,0.5928882594047082,0.5928882594047082,0.0,0.9988528138528139,0.9988528138528139,0.0
21,0.5850307760644711,0.5850307760644711,0.0,0.9991869918699188,0.9991869918699188,0.0
22,0.5985517475753536,0.5985517475753536,0.0,0.9988531809397951,0.9988531809397951,0.0
23,0.587268580230457,0.587268580230457,0.0,0.9952740753738879,0.995425358370067,0.0
24,0.5727091068042736,0.5727091068042736,0.0,0.9911034537749284,0.9911034537749284,0.0
25,0.5819842795190223,0.5819842795190223,0.0,0.9864746623286996,0.9864746623286996,0.0
26,0.6158378658378658,0.6158378658378658,0.0,0.9922622430614758,0.9922622430614758,0.0
27,0.6155389323359401,0.6155389323359401,0.0,0.9941945273875373,0.9941945273875373,0.0
28,0.5930316091954023,0.5930316091954023,0.0,0.9922798578183512,0.9922798578183512,0.0
29,0.5783411344012559,0.5783411344012559,0.0,0.9991869918699188,0.9991869918699188,0.0
30,0.5946001152254753,0.5946001152254753,0.0,0.9997295835586804,0.9997295835586804,0.0
31,0.600891861761427,0.600891861761427,0.0,0.9997295835586804,0.9997295835586804,0.0
32,0.5971534985563558,0.5971534985563558,0.0,0.9997295835586804,0.9997295835586804,0.0
33,0.5883545928076643,0.5883545928076643,0.0,0.9994582881906826,0.9994582881906826,0.0
34,0.6006387576534395,0.6006387576534395,0.0,0.9997295835586804,0.9997295835586804,0.0
35,0.5939809954507522,0.5939809954507522,0.0,0.9997295835586804,0.9997295835586804,0.0
36,0.5984278879015721,0.5984278879015721,0.0,0.9997295835586804,0.9997295835586804,0.0
37,0.5944036087776443,0.5944036087776443,0.0,0.9997295835586804,0.9997295835586804,0.0
38,0.5987200608287924,0.5987200608287924,0.0,0.9997295835586804,0.9997295835586804,0.0
39,0.5925555591394381,0.5925555591394381,0.0,0.9997295835586804,0.9997295835586804,0.0
40,0.594861160007041,0.594861160007041,0.0,0.9997295835586804,0.9997295835586804,0.0
41,0.5954710531937619,0.5954710531937619,0.0,0.9997295835586804,0.9997295835586804,0.0
42,0.5973691902952354,0.5973691902952354,0.0,0.9997295835586804,0.9997295835586804,0.0
43,0.5957339576322164,0.5957339576322164,0.0,0.9997295835586804,0.9997295835586804,0.0
44,0.5967213114754097,0.5967213114754097,0.0,0.9997295835586804,0.9997295835586804,0.0
45,0.5982388552559164,0.5982388552559164,0.0,0.9997295835586804,0.9997295835586804,0.0
46,0.5961935834692768,0.5961935834692768,0.0,0.9997295835586804,0.9997295835586804,0.0
47,0.5948423669602863,0.5948423669602863,0.0,0.9994582881906826,0.9994582881906826,0.0
48,0.5996515843495456,0.5996515843495456,0.0,0.9997295835586804,0.9997295835586804,0.0
49,0.5923604414443373,0.5923604414443373,0.0,0.9997295835586804,0.9997295835586804,0.0
